Time(us),Blue,Red,Blue Excitation,Red Excitation,Ratio,871 Lock Point,Mean Ratio,Phonon Number
0,93,92,7,8,0.875,871.0346669,1.043950185,-8
1,91.5,97.5,8.5,2.5,3.4,871.0346671,,0.416666667
2,93.5,95.5,6.5,4.5,1.444444444,871.0346667,Mena Number,2.250000002
3,92.5,94.5,7.5,5.5,1.363636364,871.034667,22.75303257,2.749999997
4,91.5,94,8.5,6,1.416666667,871.0346671,,2.399999998
5,94,94.5,6,5.5,1.090909091,871.0346668,,10.99999999
6,94,92,6,8,0.75,871.0346673,,-4
7,95.5,92,4.5,8,0.5625,871.034667,,-2.285714286
8,91,92,9,8,1.125,871.0346672,,8
9,93.5,93,6.5,7,0.928571429,871.0346669,,-14.00000008
10,93,92.5,7,7.5,0.933333333,871.0346671,,-14.99999993
11,94,92.5,6,7.5,0.8,871.0346672,,-5
12,92,94.5,8,5.5,1.454545455,871.0346676,,2.199999998
13,92,92,8,8,1,871.0346672,,#DIV/0!
14,90,88,10,12,0.833333333,871.0346669,,-5.999999988
15,90.5,91,9.5,9,1.055555556,871.034667,,17.99999986
16,87,88.5,13,11.5,1.130434783,871.0346672,,7.666666644
17,86,90.5,14,9.5,1.473684211,871.0346673,,2.111111109
18,86,83.5,14,16.5,0.848484848,871.034667,,-6.599999979
19,84.5,81.5,15.5,18.5,0.837837838,871.0346669,,-6.166666673
20,89,87.5,11,12.5,0.88,871.0346672,,-8.333333333
21,84.5,86.5,15.5,13.5,1.148148148,871.0346677,,6.750000007
22,87,78,13,22,0.590909091,871.0346668,,-2.444444445
23,82,83.5,18,16.5,1.090909091,871.034667,,10.99999999
24,83.5,83.5,16.5,16.5,1,871.0346671,,#DIV/0!
25,85.5,80.5,14.5,19.5,0.743589744,871.0346668,,-3.900000006
26,80,79.5,20,20.5,0.975609756,871.0346669,,-40.99999984
27,79.5,79.5,20.5,20.5,1,871.0346673,,#DIV/0!
28,80.5,73,19.5,27,0.722222222,871.0346671,,-3.599999997
29,78,79,22,21,1.047619048,871.0346671,,20.99999983
30,77,73.5,23,26.5,0.867924528,871.0346669,,-7.571428554
31,76.5,75,23.5,25,0.94,871.0346669,,-16.66666667
32,73.5,78,26.5,22,1.204545455,871.0346673,,4.888888878
33,72.5,75.5,27.5,24.5,1.12244898,871.0346669,,8.166666639
34,70.5,70,29.5,30,0.983333333,871.034667,,-59.9999988
35,81.5,76,18.5,24,0.770833333,871.0346672,,-4.363636357
36,77.5,71,22.5,29,0.775862069,871.0346668,,-4.461538462
37,71,72,29,28,1.035714286,871.0346673,,27.99999978
38,67.5,69.5,32.5,30.5,1.06557377,871.0346669,,15.25000011
39,66,59,34,41,0.829268293,871.0346675,,-5.857142868
40,68,65,32,35,0.914285714,871.0346672,,-11.66666663
41,69.5,68.5,30.5,31.5,0.968253968,871.0346669,,-31.49999975
42,69,64.5,31,35.5,0.873239437,871.0346664,,-7.888888913
43,66,59.5,34,40.5,0.839506173,871.0346672,,-6.230769237
44,71,56.5,29,43.5,0.666666667,871.034667,,-3.000000003
45,62,68.5,38,31.5,1.206349206,871.0346673,,4.846153854
46,58.5,62.5,41.5,37.5,1.106666667,871.0346672,,9.374999971
47,57.5,61.5,42.5,38.5,1.103896104,871.0346668,,9.62499999
48,65.5,62,34.5,38,0.907894737,871.0346675,,-10.85714288
49,61,59,39,41,0.951219512,871.0346672,,-20.49999992
50,64,53,36,47,0.765957447,871.0346669,,-4.272727276
51,64.5,53,35.5,47,0.755319149,871.0346672,,-4.086956523
52,58.5,56,41.5,44,0.943181818,871.0346672,,-17.59999994
53,55.5,61.5,44.5,38.5,1.155844156,871.0346671,,6.41666666
54,51,49,49,51,0.960784314,871.0346671,,-25.50000018
55,50,50,50,50,1,871.0346671,,#DIV/0!
56,56.5,48,43.5,52,0.836538462,871.034667,,-6.117647076
57,58,55.5,42,44.5,0.943820225,871.0346672,,-17.80000009
58,52.5,58,47.5,42,1.130952381,871.0346669,,7.636363634
59,49.5,47.5,50.5,52.5,0.961904762,871.034667,,-26.25000007
60,52.5,48.5,47.5,51.5,0.922330097,871.0346667,,-12.87499999
61,53.5,45.5,46.5,54.5,0.853211009,871.0346668,,-6.812499992
62,49,50.5,51,49.5,1.03030303,871.0346673,,33.00000033
63,45.5,45,54.5,55,0.990909091,871.0346671,,-110.0000011
64,49.5,42,50.5,58,0.870689655,871.0346674,,-7.733333323
65,47,43.5,53,56.5,0.938053097,871.0346673,,-16.14285705
66,51,49,49,51,0.960784314,871.034667,,-25.50000018
67,48.5,50.5,51.5,49.5,1.04040404,871.0346672,,24.75000025
68,40,47.5,60,52.5,1.142857143,871.034667,,6.999999993
69,48.5,50,51.5,50,1.03,871.0346671,,33.33333333
70,52.5,50,47.5,50,0.95,871.034667,,-20
71,50,41.5,50,58.5,0.854700855,871.0346669,,-6.882352955
72,53,43,47,57,0.824561404,871.0346673,,-5.700000016
73,47.5,50.5,52.5,49.5,1.060606061,871.034667,,16.49999989
74,37,42.5,63,57.5,1.095652174,871.0346668,,10.45454545
75,45,46,55,54,1.018518519,871.0346669,,53.9999986
76,45,44,55,56,0.982142857,871.0346669,,-55.99999955
77,54,43,46,57,0.807017544,871.0346671,,-5.181818186
78,46,48,54,52,1.038461538,871.0346667,,26.00000031
79,48,47.5,52,52.5,0.99047619,871.0346672,,-104.9999948
80,49,51.5,51,48.5,1.051546392,871.0346672,,19.39999991
81,49.5,53,50.5,47,1.074468085,871.0346671,,13.42857145
82,46,33,54,67,0.805970149,871.0346669,,-5.153846147
83,44,44.5,56,55.5,1.009009009,871.0346674,,111.0000001
84,49,49,51,51,1,871.0346673,,#DIV/0!
85,43.5,43.5,56.5,56.5,1,871.034667,,#DIV/0!
86,40.5,45,59.5,55,1.081818182,871.0346673,,12.2222222
87,42,46,58,54,1.074074074,871.0346671,,13.50000001
88,47,50.5,53,49.5,1.070707071,871.0346671,,14.14285708
89,48.5,46.5,51.5,53.5,0.962616822,871.034667,,-26.74999969
90,41,48.5,59,51.5,1.145631068,871.0346672,,6.866666665
91,45,50.5,55,49.5,1.111111111,871.0346673,,9.000000009
92,44.5,46,55.5,54,1.027777778,871.034667,,35.99999971
93,42,46,58,54,1.074074074,871.0346672,,13.50000001
94,47.5,42.5,52.5,57.5,0.913043478,871.0346669,,-11.49999997
95,42.5,45,57.5,55,1.045454545,871.0346675,,22.00000022
96,46,41.5,54,58.5,0.923076923,871.0346672,,-12.99999999
97,49,43,51,57,0.894736842,871.034667,,-9.499999991
98,52,42.5,48,57.5,0.834782609,871.0346671,,-6.05263159
99,48.5,47,51.5,53,0.971698113,871.0346668,,-35.33333307
100,45.5,47.5,54.5,52.5,1.038095238,871.0346672,,26.25000007
101,46,44.5,54,55.5,0.972972973,871.0346671,,-37.00000004
102,45,45.5,55,54.5,1.009174312,871.0346668,,108.9999991
103,43,44.5,57,55.5,1.027027027,871.0346671,,37.00000004
104,44.5,48,55.5,52,1.067307692,871.0346672,,14.85714293
105,48,51.5,52,48.5,1.072164948,871.034667,,13.85714294
106,45,43.5,55,56.5,0.973451327,871.034667,,-37.66666605
107,47,48,53,52,1.019230769,871.0346668,,52.00000062
108,43.5,46.5,56.5,53.5,1.056074766,871.0346671,,17.83333345
109,55,55.5,45,44.5,1.011235955,871.0346671,,89.00000044
110,50,48,50,52,0.961538462,871.0346668,,-26.00000031
111,50,53.5,50,46.5,1.075268817,871.0346666,,13.28571432
