,with 435,no 435,,
315,903,914,94,871.0348653
315.05,933,904,98,871.0348653
315.1,875,993,96,871.0348653
315.15,908,880,100,871.0348654
315.2,910,971,100,871.0348656
315.25,877,931,100,871.0348653
315.3,880,909,99,871.0348653
315.35,824,980,95,871.0348655
315.4,876,998,92,871.0348652
315.45,743,969,77,871.0348651
315.5,851,999,85,871.0348652
315.55,828,904,90,871.0348656
315.6,892,973,98,871.0348654
315.65,980,939,100,871.0348652
315.7,936,917,99,871.0348655
315.75,939,984,99,871.0348652
315.8,946,908,99,871.0348654
315.85,925,857,99,871.0348653
315.9,969,943,100,871.0348651
315.95,956,957,100,871.0348654
316,916,996,97,871.0348651
316.05,948,938,95,871.0348655
316.1,959,920,96,871.0348651
316.15,923,909,91,871.0348653
316.2,892,909,96,871.0348654
316.25,951,931,97,871.0348652
316.3,941,855,98,871.0348651
316.35,952,910,98,871.0348653
316.4,994,934,98,871.0348653
316.45,853,928,97,871.0348655
316.5,984,936,99,871.0348653
316.55,916,943,100,871.0348655
316.6,986,937,98,871.0348653
316.65,962,915,100,871.0348655
316.7,960,921,97,871.0348655
316.75,935,841,99,871.0348653
316.8,938,932,97,871.034865
316.85,916,951,96,871.0348651
316.9,932,915,95,871.0348654
316.95,783,931,81,871.0348654
317,915,934,90,871.0348653
317.05,1016,948,96,871.0348652
317.1,1001,958,98,871.0348654
317.15,986,974,100,871.0348652
317.2,985,904,99,871.0348654
317.25,982,961,99,871.0348652
317.3,1027,908,98,871.0348655
317.35,985,898,99,871.0348655
317.4,894,936,98,871.0348653
317.45,1017,903,97,871.0348655
317.5,837,881,85,871.0348655
317.55,651,869,73,871.0348654
317.6,773,947,75,871.0348653
317.65,824,908,89,871.0348653
317.7,932,884,97,871.0348654
317.75,871,868,96,871.0348654
317.8,893,951,98,871.0348653
317.85,938,885,99,871.0348651
317.9,975,932,99,871.0348653
317.95,991,919,100,871.0348655
318,973,931,99,871.0348655
318.05,1007,976,99,871.0348651
318.1,919,967,91,871.0348654
318.15,801,925,87,871.0348654
318.2,811,859,86,871.0348653
318.25,955,904,98,871.0348653
318.3,908,936,97,871.0348656
318.35,864,946,93,871.0348655
318.4,795,935,89,871.0348654
318.45,895,883,90,871.0348654
318.5,946,864,97,871.0348653
318.55,921,916,97,871.0348651
318.6,923,924,100,871.0348653
318.65,894,937,99,871.0348652
318.7,906,932,98,871.0348653
318.75,930,958,94,871.0348654
318.8,931,929,98,871.0348654
318.85,852,894,93,871.0348651
318.9,802,960,89,871.0348651
318.95,655,955,79,871.0348652
319,661,897,71,871.0348651
319.05,581,966,67,871.0348654
319.1,801,1025,84,871.0348655
319.15,878,953,92,871.0348653
319.2,980,983,99,871.0348654
319.25,894,852,99,871.0348655
319.3,882,906,96,871.0348654
319.35,972,888,98,871.0348655
319.4,929,874,100,871.0348653
319.45,846,932,92,871.0348653
319.5,799,868,91,871.0348655
319.55,686,809,86,871.0348653
319.6,662,919,80,871.0348654
319.65,625,932,77,871.0348651
319.7,679,895,82,871.0348655
319.75,762,827,81,871.0348653
319.8,837,899,93,871.0348653
319.85,844,901,98,871.0348657
319.9,825,901,94,871.0348653
319.95,875,933,97,871.0348654
320,857,887,97,871.0348649
320.05,886,951,98,871.0348651
320.1,760,924,95,871.0348654
320.15,751,973,90,871.0348653
320.2,709,933,81,871.0348653
320.25,573,919,67,871.0348652
320.3,719,963,79,871.0348656
320.35,771,924,92,871.0348653
320.4,848,870,91,871.0348656
320.45,920,842,99,871.0348653
320.5,933,950,100,871.0348652
320.55,901,952,98,871.0348651
320.6,890,917,100,871.0348652
320.65,898,889,98,871.0348654
320.7,952,985,100,871.0348653
320.75,919,960,95,871.0348656
320.8,925,917,94,871.0348655
320.85,833,934,93,871.0348654
320.9,839,960,92,871.0348655
320.95,933,928,98,871.0348656
321,851,944,91,871.0348653
321.05,874,972,93,871.0348656
321.1,841,942,90,871.0348652
321.15,964,922,98,871.0348654
321.2,931,960,100,871.0348654
321.25,927,925,100,871.0348653
321.3,958,922,100,871.0348653
321.35,927,997,100,871.0348653
321.4,888,943,96,871.0348654
321.45,815,965,97,871.0348656
321.5,888,909,98,871.0348654
321.55,924,863,95,871.0348654
321.6,863,925,87,871.0348655
321.65,669,955,74,871.0348653
321.7,822,872,85,871.0348656
321.75,914,911,90,871.0348655
321.8,959,940,98,871.0348654
321.85,902,962,97,871.0348655
321.9,910,955,99,871.0348655
321.95,905,1019,99,871.0348651
322,988,956,100,871.0348654
322.05,891,966,98,871.0348655
322.1,965,938,100,871.0348652
322.15,1022,961,100,871.0348652
322.2,909,938,97,871.0348654
322.25,922,902,95,871.034865
322.3,956,962,96,871.0348654
322.35,978,974,96,871.0348655
322.4,969,947,100,871.0348652
322.45,920,895,100,871.0348656
322.5,951,934,99,871.0348656
322.55,989,924,100,871.0348652
322.6,921,974,98,871.0348655
322.65,1026,943,100,871.0348654
322.7,930,927,100,871.0348654
322.75,957,917,100,871.0348654
322.8,922,942,100,871.0348651
322.85,916,944,100,871.0348653
322.9,920,937,100,871.0348653
322.95,979,981,99,871.0348652
323,975,988,98,871.0348654
323.05,912,900,98,871.0348654
323.1,958,869,99,871.0348651
323.15,969,894,100,871.0348652
323.2,1070,948,98,871.0348655
323.25,951,988,99,871.0348654
323.3,993,928,100,871.0348652
323.35,922,917,98,871.0348653
323.4,1003,1005,100,871.0348652
323.45,956,1040,99,871.0348654
323.5,961,974,99,871.0348653
323.55,842,1066,98,871.0348654
323.6,970,968,99,871.0348653
323.65,1041,971,100,871.0348653
323.7,1008,920,99,871.0348653
323.75,960,939,99,871.0348654
323.8,922,1001,99,871.0348655
323.85,978,998,99,871.0348652
323.9,994,927,99,871.0348654
323.95,997,923,100,871.0348654
324,959,940,99,871.0348653
324.05,999,911,99,871.0348653
324.1,923,974,100,871.0348653
324.15,938,994,98,871.0348649
324.2,1044,906,100,871.0348653
324.25,1081,948,100,871.0348652
324.3,1051,984,100,871.0348655
324.35,945,925,100,871.034865
324.4,981,1030,100,871.0348654
324.45,917,982,99,871.0348653
324.5,1047,976,100,871.0348656
324.55,995,964,100,871.0348656
324.6,940,980,98,871.0348652
324.65,962,986,98,871.0348656
324.7,1061,962,100,871.0348653
324.75,1063,955,99,871.0348654
324.8,1051,974,99,871.0348653
324.85,1043,889,100,871.0348656
324.9,1044,984,100,871.0348652
324.95,1031,960,99,871.0348652
